chem_id,smiles,T
chemical_106_2,CP(OCC)OCCN(C(C)C)C(C)C,0
chemical_106_3,CP(OCC)OCCN(C(C)C)C(C)C,10
chemical_106_4,CP(OCC)OCCN(C(C)C)C(C)C,20
chemical_106_5,CP(OCC)OCCN(C(C)C)C(C)C,30
chemical_107_1,CP(OC1C(C)CCCC1)(F)=S,-10
chemical_107_2,CP(OC1C(C)CCCC1)(F)=S,0
chemical_107_3,CP(OC1C(C)CCCC1)(F)=S,10
chemical_107_4,CP(OC1C(C)CCCC1)(F)=S,20
chemical_107_5,CP(OC1C(C)CCCC1)(F)=S,30
chemical_108_1,CP(OC(C(C)(C)C)C)(F)=S,-10
chemical_108_2,CP(OC(C(C)(C)C)C)(F)=S,0
chemical_108_3,CP(OC(C(C)(C)C)C)(F)=S,10
chemical_108_4,CP(OC(C(C)(C)C)C)(F)=S,20
chemical_108_5,CP(OC(C(C)(C)C)C)(F)=S,30
chemical_109_1,CP(OC1CCCC1)(F)=S,-10
chemical_109_2,CP(OC1CCCC1)(F)=S,0
chemical_109_3,CP(OC1CCCC1)(F)=S,10
chemical_109_4,CP(OC1CCCC1)(F)=S,20
chemical_109_5,CP(OC1CCCC1)(F)=S,30
chemical_110_1,CP(OC1C(C)CCC(C)C1)(F)=O,-10
chemical_110_2,CP(OC1C(C)CCC(C)C1)(F)=O,0
chemical_110_3,CP(OC1C(C)CCC(C)C1)(F)=O,10
chemical_110_4,CP(OC1C(C)CCC(C)C1)(F)=O,20
chemical_110_5,CP(OC1C(C)CCC(C)C1)(F)=O,30
chemical_111_1,CP(OC1CCCCCCC1)(F)=O,-10
chemical_111_2,CP(OC1CCCCCCC1)(F)=O,0
chemical_111_3,CP(OC1CCCCCCC1)(F)=O,10
chemical_111_4,CP(OC1CCCCCCC1)(F)=O, 
chemical_111_5,CP(OC1CCCCCCC1)(F)=O,30
chemical_112_1,CP(OC1C(C)CC(C)CC1)(F)=O,-10
chemical_112_2,CP(OC1C(C)CC(C)CC1)(F)=O,0
chemical_112_3,CP(OC1C(C)CC(C)CC1)(F)=O,10
chemical_112_4,CP(OC1C(C)CC(C)CC1)(F)=O,20
chemical_112_5,CP(OC1C(C)CC(C)CC1)(F)=O,30
chemical_113_1,FP(N(C)C)(OCCN(C)C)=O,-10
chemical_113_2,FP(N(C)C)(OCCN(C)C)=O,0
chemical_113_3,FP(N(C)C)(OCCN(C)C)=O,10
chemical_113_4,FP(N(C)C)(OCCN(C)C)=O,20
chemical_113_5,FP(N(C)C)(OCCN(C)C)=O,30
chemical_114_1,CP(OC1C(C)CC(C)CC1)(F)=S,-10
chemical_114_2,CP(OC1C(C)CC(C)CC1)(F)=S,0
chemical_114_3,CP(OC1C(C)CC(C)CC1)(F)=S,10
chemical_114_4,CP(OC1C(C)CC(C)CC1)(F)=S,20
chemical_114_5,CP(OC1C(C)CC(C)CC1)(F)=S,30
chemical_115_1,FP(N(C)C)(OC(C)CN(C)C)=O,-10
chemical_115_2,FP(N(C)C)(OC(C)CN(C)C)=O,0
chemical_115_3,FP(N(C)C)(OC(C)CN(C)C)=O,10
chemical_115_4,FP(N(C)C)(OC(C)CN(C)C)=O,20
chemical_115_5,FP(N(C)C)(OC(C)CN(C)C)=O,30
chemical_116_1,FP(N(C)C)(OCCCN(C)C)=O,-10
chemical_116_2,FP(N(C)C)(OCCCN(C)C)=O,0
chemical_116_3,FP(N(C)C)(OCCCN(C)C)=O,10
chemical_116_4,FP(N(C)C)(OCCCN(C)C)=O,20
chemical_116_5,FP(N(C)C)(OCCCN(C)C)=O,30
chemical_117_1,FP(N(C)C)(OC1CN2CCC1CC2)=O,-10
chemical_117_2,FP(N(C)C)(OC1CN2CCC1CC2)=O,0
chemical_117_3,FP(N(C)C)(OC1CN2CCC1CC2)=O,10
chemical_117_4,FP(N(C)C)(OC1CN2CCC1CC2)=O,20
chemical_117_5,FP(N(C)C)(OC1CN2CCC1CC2)=O,30
